business_id,branch_name,in_isoo,in_sadang,in_hongdae,in_sinchon,in_seoul_all,seoul_all_only
1033058,"Live Room (예약 시 오전,오후 확인)",N,N,Y,N,Y,N
1061592,S룸,N,N,Y,N,Y,N
1062791,호랑이 1(최대 인원 8명),N,N,Y,N,Y,N
1062814,A룸,N,N,Y,Y,Y,N
1064404,A ROOM ,N,N,Y,N,Y,N
1085326,재즈 합주실 / 클래식 앙상블실 ,N,N,Y,N,Y,N
1132767,A ROOM,Y,Y,N,N,Y,N
1182602,S룸,N,N,N,Y,Y,N
1240775,EVENT))1번방,N,N,Y,N,Y,N
1314022,E room,N,N,N,N,Y,Y
1374245,A룸 밴드연습대여,Y,N,N,N,Y,N
1384809,"A룸(예약 후 1시간 내 입금요망, 당일예약시 전화필수)",N,N,N,N,Y,Y
1385421,"[ 합주실A] 가격인하 10%~20% 평일,주말 차등요금",N,N,Y,N,Y,N
1410283,"[거울] Room 1 (예약 시 오전, 오후 확인)",N,N,Y,N,Y,N
1415457,당일 예약 (전화 문의),N,N,N,N,Y,Y
1482133,S룸,N,N,Y,Y,Y,N
1496947,와이즈홀 내방점 대관,Y,N,N,N,Y,N
1500479,A룸,N,N,N,N,Y,Y
152010,야마하 U3 업라이트 피아노 연습실 1번방,N,N,Y,N,Y,N
1582546,합주실 해,N,N,Y,N,Y,N
1593535,"Room R (다인원 수용 가능,예약시 오전오후 확인)",N,N,N,N,Y,Y
1602278,1번방(2인 이용가능),Y,N,N,N,Y,N
247786,재즈합주/클래식 앙상블실,N,N,N,N,Y,Y
26276,R룸 (-15명),N,N,Y,N,Y,N
329314,S룸,N,N,Y,N,Y,N
331813,S룸,N,N,Y,N,Y,N
446860,합주실 R,N,N,Y,N,Y,N
522011,"[개강특가] 블랙룸 (정원 20명, 최대 30명)",Y,Y,N,N,Y,N
570236,삼익베이비그랜드(1호점_305호),N,N,N,N,Y,Y
691007,A / artist room 6인 -12인 2시간 기본,Y,Y,N,N,Y,N
70462,당일 예약 (전화 문의),N,N,Y,N,Y,N
706413,합주실 / 녹음실,N,N,N,N,Y,Y
706924,"[개강특가] A룸 (정원 20명, 최대 30명)",Y,Y,N,N,Y,N
759837,ROOM 1 ,N,N,N,N,Y,Y
773046,합주실(A),Y,N,N,N,Y,N
838294,에이타입사운드 스테이지,Y,Y,N,N,Y,N
844479,A룸,N,N,Y,N,Y,N
890006,"평일 저녁, 주말 (드럼 O, 베이스 O)",N,N,Y,N,Y,N
917236,[개강특가] C룸(그랜드피아노 보유/최대 20명),Y,Y,N,N,Y,N
95732,개러지룸,N,N,Y,N,Y,N
984268,에이타입사운드 라운지,Y,Y,N,N,Y,N
dream_sadang,드림합주실 사당점,Y,Y,N,N,Y,N
sadang,그루브합주실 사당점,Y,Y,N,N,Y,N
